error_rate,strategy,mean_delta_auc,median_delta_auc,n_total,better,no_difference,worse,pct_better,pct_no_difference,pct_worse
0,random,0.28032274438293314,0.0253595406531793,99,24.0,69.0,6.0,24.242424242424242,69.6969696969697,6.0606060606060606
0,first,0.26959626120493185,0.0102067436661354,99,27.0,68.0,4.0,27.272727272727273,68.68686868686869,4.040404040404041
0,min_oob_error,0.2745863306324918,0.0256371327392958,99,25.0,67.0,7.0,25.252525252525253,67.67676767676768,7.070707070707071
0,max_oob_error,0.2971339527687955,-0.0067690185780694,99,29.0,51.0,19.0,29.292929292929294,51.515151515151516,19.19191919191919
0,min_oob_uncertainty,0.36331524849221597,0.0241420655636659,99,33.0,61.0,5.0,33.333333333333336,61.61616161616162,5.05050505050505
0,max_oob_uncertainty,0.2566440190536618,0.0092200134513504,99,23.0,73.0,3.0,23.232323232323232,73.73737373737374,3.0303030303030303
10,random,0.36394826994570634,0.1277397046013867,99,29.0,69.0,1.0,29.292929292929294,69.6969696969697,1.0101010101010102
10,first,0.29307206987441387,0.1025501952534536,99,24.0,74.0,1.0,24.242424242424242,74.74747474747475,1.0101010101010102
10,min_oob_error,0.20560810177435598,0.0932089456152244,99,18.0,79.0,2.0,18.181818181818183,79.79797979797979,2.0202020202020203
10,max_oob_error,0.633985061848139,0.2141412621521553,99,39.0,56.0,4.0,39.39393939393939,56.56565656565657,4.040404040404041
10,min_oob_uncertainty,0.46452701216905234,0.1605504931905571,99,35.0,63.0,1.0,35.35353535353536,63.63636363636363,1.0101010101010102
10,max_oob_uncertainty,0.2998314267787759,0.1310480471491249,99,19.0,79.0,1.0,19.19191919191919,79.79797979797979,1.0101010101010102
20,random,0.3974499751020839,0.2876631956507063,99,23.0,75.0,1.0,23.232323232323232,75.75757575757575,1.0101010101010102
20,first,0.41075346712253624,0.2561422008285762,99,21.0,77.0,1.0,21.21212121212121,77.77777777777777,1.0101010101010102
20,min_oob_error,0.11353561091913142,0.0399841666150377,99,8.0,91.0,0.0,8.080808080808081,91.91919191919192,0.0
20,max_oob_error,0.868613422073777,0.5964398551745503,99,55.0,42.0,2.0,55.55555555555556,42.42424242424242,2.0202020202020203
20,min_oob_uncertainty,0.5969697148549419,0.3659528795508022,99,42.0,57.0,0.0,42.42424242424242,57.57575757575758,0.0
20,max_oob_uncertainty,0.3905078057186564,0.2317894014611678,99,15.0,84.0,0.0,15.151515151515152,84.84848484848484,0.0
30,random,0.5766256239871326,0.3353580403162796,99,35.0,64.0,0.0,35.35353535353536,64.64646464646465,0.0
30,first,0.46939124340553234,0.3046077315858044,99,25.0,73.0,1.0,25.252525252525253,73.73737373737374,1.0101010101010102
30,min_oob_error,0.09063044147030926,0.0794821792498316,99,8.0,90.0,1.0,8.080808080808081,90.9090909090909,1.0101010101010102
30,max_oob_error,1.2364385379688902,0.8355308934588959,99,61.0,38.0,0.0,61.61616161616162,38.38383838383838,0.0
30,min_oob_uncertainty,0.7537761481363633,0.5680790747991956,99,45.0,54.0,0.0,45.45454545454545,54.54545454545455,0.0
30,max_oob_uncertainty,0.5638358196090892,0.3435863039210897,99,22.0,77.0,0.0,22.22222222222222,77.77777777777777,0.0
40,random,0.42872531095852995,0.2760902931716623,99,14.0,85.0,0.0,14.141414141414142,85.85858585858585,0.0
40,first,0.3860833182194211,0.2006649266876142,99,12.0,86.0,1.0,12.121212121212121,86.86868686868686,1.0101010101010102
40,min_oob_error,-0.1578617139750115,0.0122507280581375,99,9.0,84.0,6.0,9.090909090909092,84.84848484848484,6.0606060606060606
40,max_oob_error,1.4769272138771983,0.901372985911949,99,39.0,60.0,0.0,39.39393939393939,60.60606060606061,0.0
40,min_oob_uncertainty,0.7885498224926115,0.5232819710821947,99,26.0,72.0,1.0,26.262626262626263,72.72727272727273,1.0101010101010102
40,max_oob_uncertainty,0.656707317693008,0.354706128710441,99,16.0,83.0,0.0,16.161616161616163,83.83838383838383,0.0
