dataset,rf_set,n_estimators,max_depth,error,f_min_train_size,end_iter,max_mean_mcc,end_mcc,mcc_diff,n_seeds
MDR1_MDCK_classification2,rf-n50-d10,50,10.0,0,694,1106,0.42467933061356095,0.3174106326706517,0.10726869794290922,20
MDR1_MDCK_classification2,rf-n50-d20,50,20.0,0,740,1106,0.45303072296122354,0.3998029414213683,0.053227781539855246,20
MDR1_MDCK_classification2,rf-n50-none,50,,0,687,1106,0.46221868047035236,0.4123442598178326,0.049874420652519735,20
MDR1_MDCK_classification2,rf-n100-d10,100,10.0,0,583,1106,0.44993663753416585,0.31269463084211224,0.1372420066920536,20
MDR1_MDCK_classification2,rf-n100-d20,100,20.0,0,602,1106,0.4830557973174495,0.403976874403211,0.07907892291423851,20
MDR1_MDCK_classification2,rf-n500-d10,500,10.0,0,610,1106,0.48537516629637506,0.31090533245323304,0.17446983384314202,20
MDR1_MDCK_classification2,rf-n500-d20,500,20.0,0,589,1106,0.5107217076206518,0.4087775074493686,0.10194420017128325,20
MDR1_MDCK_classification2,rf-n500-none,500,,0,653,1106,0.5245472609846453,0.44196838256057686,0.08257887842406847,20
PAMPA_NCATS,rf-n50-d10,50,10.0,0,389,1014,0.15797936833665957,0.12610403774410875,0.03187533059255082,20
PAMPA_NCATS,rf-n50-d20,50,20.0,0,492,1014,0.18277525864454197,0.15217905030769444,0.030596208336847536,20
PAMPA_NCATS,rf-n50-none,50,,0,488,1014,0.18756076169094998,0.1679741914915559,0.019586570199394082,20
PAMPA_NCATS,rf-n100-d10,100,10.0,0,377,1014,0.1572297642397296,0.13106084980432905,0.026168914435400537,20
PAMPA_NCATS,rf-n100-d20,100,20.0,0,511,1014,0.18307767776686173,0.1636978660593213,0.01937981170754044,20
PAMPA_NCATS,rf-n500-d10,500,10.0,0,297,1014,0.15603223022138582,0.11869236299838577,0.03733986722300005,20
PAMPA_NCATS,rf-n500-d20,500,20.0,0,427,1014,0.19105654908947403,0.16796645580427078,0.023090093285203256,20
PAMPA_NCATS,rf-n500-none,500,,0,431,1014,0.1908255792747284,0.1678307438327294,0.022994835441999012,20
pgp_broccatelli,rf-n50-d10,50,10.0,0,275,606,0.6495273264684941,0.6056012604869305,0.04392606598156357,20
pgp_broccatelli,rf-n50-d20,50,20.0,0,313,606,0.6651930430287225,0.6478189121576904,0.017374130871032123,20
pgp_broccatelli,rf-n50-none,50,,0,335,606,0.6601877809370357,0.6460820731857609,0.014105707751274732,20
pgp_broccatelli,rf-n100-d10,100,10.0,0,266,606,0.6629636639913007,0.618859205692529,0.04410445829877174,20
pgp_broccatelli,rf-n100-d20,100,20.0,0,326,606,0.6730250698641462,0.6504475825332945,0.022577487330851742,20
pgp_broccatelli,rf-n500-d10,500,10.0,0,250,606,0.6622773766017712,0.6195637138519663,0.042713662749804926,20
pgp_broccatelli,rf-n500-d20,500,20.0,0,269,606,0.6755950406794948,0.6515951994213971,0.02399984125809773,20
pgp_broccatelli,rf-n500-none,500,,0,311,606,0.6777265660914507,0.652271632621546,0.025454933469904684,20
