dataset,error,f_min_train_size,end_iter
CYP2D6_Veith,10,1333,6562
CYP2D6_Veith,20,1490,6562
CYP2D6_Veith,30,1336,6562
CYP2D6_Veith,40,2109,6562
CYP3A4_Veith,10,3914,6161
CYP3A4_Veith,20,4605,6161
CYP3A4_Veith,30,4767,6161
CYP3A4_Veith,40,4315,6161
MDR1_MDCK_classification2,10,647,1106
MDR1_MDCK_classification2,20,627,1106
MDR1_MDCK_classification2,30,699,1106
MDR1_MDCK_classification2,40,626,1106
PAMPA_NCATS,10,699,1014
PAMPA_NCATS,20,531,1014
PAMPA_NCATS,30,784,1014
PAMPA_NCATS,40,590,1014
ames,10,2314,3636
ames,20,2194,3636
ames,30,2461,3636
ames,40,2469,3636
pgp_broccatelli,10,345,606
pgp_broccatelli,20,290,606
pgp_broccatelli,30,277,606
pgp_broccatelli,40,383,606
